"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R1,R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"2.4k";;;
2;"U1";"MODULE_ESP32-DEVKITC-32D";1;"ESP32-DEVKITC-32D";;;
3;"R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"10k";;;
4;"R6,R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"422";;;
5;"J2";"1713969";1;"Screw_Terminal_01x06";;;
6;"PS1";"RAC10E05SK277";1;"RAC10E-05SK_277";;;
7;"J1";"JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal";1;"BME280";;;
8;"K1,K2";"CPC40055ST";2;"CPC40055ST";;;
9;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1u";;;
10;"J3";"1714968";1;"Screw_Terminal_01x03";;;
